signal_id,signal_time_jst,signal_time_unix,symbol,mc_band,mc,liquidity,entry_price,sl_price,tp_price,rr_ratio,atr,vwap,rsi,vol_surge,score_total,score_volume,score_vwap,score_rsi,score_liquidity,score_repro,score_penalty,signal_count,success_count,success_rate,ohlcv_aggregate,rsi_overbought,atr_sl_mult,atr_tp_mult,volume_surge_min,notified,notify_threshold,dex_url,pool_address,token_address,outcome_checked_at,price_15m,price_30m,price_60m,high_60m,low_60m,sl_hit,tp_hit,outcome,pnl_pct
edf92435,2026-02-25 09:51:24,1771980684,Punch,$5M〜$50M,37957602,879980,0.0374239747770203,0.0332992190987073,0.0468519877560217,2.29,0.0023570032447503,0.0361571316890957,84.9,7.68,90,25.0,20.0,20.0,15.0,18.3,-8.7,48,23,0.479,15,82,1.75,4.0,2.0,True,70,https://www.geckoterminal.com/solana/pools/A6KHMiFzn9AM7VKBtVP4fZNY9bCo2jP63R9dphaW1vrq,A6KHMiFzn9AM7VKBtVP4fZNY9bCo2jP63R9dphaW1vrq,NV2RYH954cTJ3ckFUpvfqaQXU4ARqqDH3562nFSpump,,,,,,,,,OPEN,
6d6f9ec3,2026-02-25 11:05:36,1771985136,Punch,$5M〜$50M,37415981,897168,0.0364393410112138,0.0313755803160433,0.0480136511716035,2.29,0.0028935775400974,0.0385069895745918,57.98,0.25,55,0.0,0.0,20.0,15.0,20.0,0.0,53,28,0.528,15,82,1.75,4.0,2.0,False,70,https://www.geckoterminal.com/solana/pools/A6KHMiFzn9AM7VKBtVP4fZNY9bCo2jP63R9dphaW1vrq,A6KHMiFzn9AM7VKBtVP4fZNY9bCo2jP63R9dphaW1vrq,NV2RYH954cTJ3ckFUpvfqaQXU4ARqqDH3562nFSpump,,,,,,,,,OPEN,
eace81bf,2026-02-25 11:05:39,1771985139,neet,$5M〜$50M,22820687,1163027,0.0227820732732383,0.0214989274349556,0.0257149780464562,2.29,0.0007332261933044,0.0217846514878768,54.93,0.25,65,0.0,20.0,20.0,15.0,10.5,0.0,42,16,0.381,15,82,1.75,4.0,2.0,False,70,https://www.geckoterminal.com/solana/pools/5wNu5QhdpRGrL37ffcd6TMMqZugQgxwafgz477rShtHy,5wNu5QhdpRGrL37ffcd6TMMqZugQgxwafgz477rShtHy,Ce2gx9KGXJ6C9Mp5b5x1sn9Mg87JwEbrQby4Zqo3pump,,,,,,,,,OPEN,
88684c06,2026-02-25 11:05:42,1771985142,WAR,$5M〜$50M,20668697,586635,0.021381910695853,0.0199995069311417,0.0245416907294791,2.29,0.0007899450084065,0.0201233732483739,81.98,1.62,64,9.0,20.0,20.0,15.0,0.0,0.0,60,15,0.25,15,82,1.75,4.0,2.0,False,70,https://www.geckoterminal.com/solana/pools/qNAGLPKnYzNtf5iJHdki9Prgodgra5BnadACgecdsjw,qNAGLPKnYzNtf5iJHdki9Prgodgra5BnadACgecdsjw,8opvqaWysX1oYbXuTL8PHaoaTiXD69VFYAX4smPebonk,,,,,,,,,OPEN,
f796b1d6,2026-02-25 11:08:54,1771985334,Punch,$5M〜$50M,36544677,893541,0.0369899344683742,0.0319261737732037,0.0485642446287639,2.29,0.0028935775400974,0.0384897840961981,60.64,0.46,55,0.0,0.0,20.0,15.0,20.0,0.0,53,28,0.528,15,82,1.75,4.0,2.0,False,70,https://www.geckoterminal.com/solana/pools/A6KHMiFzn9AM7VKBtVP4fZNY9bCo2jP63R9dphaW1vrq,A6KHMiFzn9AM7VKBtVP4fZNY9bCo2jP63R9dphaW1vrq,NV2RYH954cTJ3ckFUpvfqaQXU4ARqqDH3562nFSpump,,,,,,,,,OPEN,
48bf6dc6,2026-02-25 11:08:57,1771985337,neet,$5M〜$50M,22790272,1164651,0.0228152707918024,0.0215321249535196,0.0257481755650203,2.29,0.0007332261933044,0.0217860302929001,55.3,0.26,65,0.0,20.0,20.0,15.0,10.5,0.0,42,16,0.381,15,82,1.75,4.0,2.0,False,70,https://www.geckoterminal.com/solana/pools/5wNu5QhdpRGrL37ffcd6TMMqZugQgxwafgz477rShtHy,5wNu5QhdpRGrL37ffcd6TMMqZugQgxwafgz477rShtHy,Ce2gx9KGXJ6C9Mp5b5x1sn9Mg87JwEbrQby4Zqo3pump,,,,,,,,,OPEN,
3e3f1996,2026-02-25 11:09:01,1771985341,WAR,$5M〜$50M,20828791,588929,0.0207527365405721,0.0193703327758607,0.0239125165741982,2.29,0.0007899450084065,0.02011269691436,72.97,1.9,76,20.8,20.0,20.0,15.0,0.0,0.0,60,15,0.25,15,82,1.75,4.0,2.0,True,70,https://www.geckoterminal.com/solana/pools/qNAGLPKnYzNtf5iJHdki9Prgodgra5BnadACgecdsjw,qNAGLPKnYzNtf5iJHdki9Prgodgra5BnadACgecdsjw,8opvqaWysX1oYbXuTL8PHaoaTiXD69VFYAX4smPebonk,,,,,,,,,OPEN,
62134a12,2026-02-25 11:09:04,1771985344,PENGUIN,$5M〜$50M,7265690,446795,0.0072659764561981,0.0069516167560613,0.0079845129136535,2.29,0.0001796341143638,0.0074957633098183,56.41,0.34,55,0.0,0.0,20.0,15.0,20.0,0.0,40,22,0.55,15,82,1.75,4.0,2.0,False,70,https://www.geckoterminal.com/solana/pools/DRAf8QxQY86h7yeHdo9GytXAF6GoTTT8oZjknwXV6dCS,DRAf8QxQY86h7yeHdo9GytXAF6GoTTT8oZjknwXV6dCS,8Jx8AAHj86wbQgUTjGuj6GTTL5Ps3cqxKRTvpaJApump,,,,,,,,,OPEN,
44b2e536,2026-02-25 11:09:17,1771985357,Lobstar,$5M〜$50M,7154801,370055,0.0071067871886612,0.0061933523437642,0.0091946382627115,2.29,0.0005219627685125,0.0072600694666265,38.97,0.23,15,0.0,0.0,0.0,15.0,0.0,0.0,39,8,0.205,15,82,1.75,4.0,2.0,False,70,https://www.geckoterminal.com/solana/pools/AADJrfmWoHVXZhF1UkbHvNC5tqrBpkGdSaxtMYteDm2x,AADJrfmWoHVXZhF1UkbHvNC5tqrBpkGdSaxtMYteDm2x,AVF9F4C4j8b1Kh4BmNHqybDaHgnZpJ7W7yLvL7hUpump,,,,,,,,,OPEN,
550a66a0,2026-02-25 11:11:50,1771985510,Punch,$5M〜$50M,36534411,888685,0.0362649058803474,0.0311649625392151,0.0479219192315068,2.29,0.0029142533377898,0.0384587329199355,57.18,0.64,55,0.0,0.0,20.0,15.0,20.0,0.0,53,28,0.528,15,82,1.75,4.0,2.0,False,70,https://www.geckoterminal.com/solana/pools/A6KHMiFzn9AM7VKBtVP4fZNY9bCo2jP63R9dphaW1vrq,A6KHMiFzn9AM7VKBtVP4fZNY9bCo2jP63R9dphaW1vrq,NV2RYH954cTJ3ckFUpvfqaQXU4ARqqDH3562nFSpump,,,,,,,,,OPEN,
