signal_id,signal_time_jst,signal_time_unix,symbol,mc_band,mc,liquidity,entry_price,sl_price,tp_price,rr_ratio,atr,vwap,rsi,vol_surge,score_total,score_volume,score_vwap,score_rsi,score_liquidity,score_repro,score_penalty,signal_count,success_count,success_rate,adjusted_rate,ohlcv_aggregate,rsi_overbought,atr_sl_mult,atr_tp_mult,volume_surge_min,notified,notify_threshold,gecko_url,pool_address,token_address,outcome_checked_at,price_15m,price_30m,price_60m,high_60m,low_60m,sl_hit,tp_hit,outcome,pnl_pct
dd33ff09,2026-02-25 21:25:37,1772022337,GROKIUS,$1M〜$5M,3250551,187270,0.0032766852586939,0.002837759701194,0.0043739991524437,2.5,0.0002194627787499,0.003438312755136,42.27,0.36,15,0.0,0.0,0.0,15.0,0.0,0.0,9,0,0.0,0.179,15,87,2.0,5.0,3.0,False,70,https://www.geckoterminal.com/solana/pools/HUsE3ouq2rL2egjy1hURxYiiQw4uuv4QDdvpYedQ8Rdh,HUsE3ouq2rL2egjy1hURxYiiQw4uuv4QDdvpYedQ8Rdh,67ezHLk8PUkjJCXjmmgPbx85VowA52ghfRXa9A8Tpump,2026-02-25 22:26:23,0.0031759347322163,0.0034119176730816,0.0033216499939895,0.0035921005423697,0.003101491163006,False,False,WIN+,1.37
371e79b7,2026-02-25 21:25:40,1772022340,KIMCHI,$300K〜$1M,976033,81190,0.0010231414315218,0.0008289379155215,0.0015280705731226,2.6,7.768140640013059e-05,0.0006324769984628,98.14,0.49,41,0.0,20.0,20.0,15.0,0.9,-15.0,2,0,0.0,0.357,5,91,2.5,6.5,5.0,False,70,https://www.geckoterminal.com/solana/pools/5nMsiD6CjDci1y83ihC2Ph7oMpfiogz5MGUzHJzUcXdU,5nMsiD6CjDci1y83ihC2Ph7oMpfiogz5MGUzHJzUcXdU,AWpD39myXc7emw5M9cMCofkbo92x5FKWdGHWYpZFdoge,2026-02-25 22:26:26,0.0011101444610215,0.0010990388409821,0.0015888923921371,0.0016582568844075,0.0009170059872909,False,True,WIN,55.3
5d05b229,2026-02-25 21:25:43,1772022343,PENGUIN,$5M〜$50M,7109167,443026,0.0071094472591169,0.0069304973200424,0.007518475691287,2.29,0.0001022571080425,0.0068327241299059,51.33,1.49,59,3.8,20.0,20.0,15.0,0.0,0.0,9,0,0.0,0.179,15,82,1.75,4.0,2.0,False,70,https://www.geckoterminal.com/solana/pools/DRAf8QxQY86h7yeHdo9GytXAF6GoTTT8oZjknwXV6dCS,DRAf8QxQY86h7yeHdo9GytXAF6GoTTT8oZjknwXV6dCS,8Jx8AAHj86wbQgUTjGuj6GTTL5Ps3cqxKRTvpaJApump,2026-02-25 22:26:29,0.0070342904044842,0.0070545542394328,0.007124449637651,0.007124449637651,0.0070083517922168,False,False,WIN+,0.21
891243ca,2026-02-25 21:26:15,1772022375,MACMINI,$1M〜$5M,2985951,165549,0.0029566219375321,0.0023146487621826,0.0045615548759057,2.5,0.0003209865876747,0.0018891790297367,52.02,0.18,61,0.0,20.0,20.0,15.0,6.2,0.0,16,6,0.375,0.405,15,87,2.0,5.0,3.0,False,70,https://www.geckoterminal.com/solana/pools/FV7QJ4FSZFpkvSNPEaJBZLVJxe4XjgoNFBwBGGf2vTRF,FV7QJ4FSZFpkvSNPEaJBZLVJxe4XjgoNFBwBGGf2vTRF,2QKrBtNECja4cJygxA7igwqxahs93GNmuQ2We2stpump,2026-02-25 22:26:32,0.0030583174662711,0.0026655727500285,0.0026616734619766,0.0032375156207134,0.0026238527170899,False,False,LOSS-,-9.98
6719934a,2026-02-25 21:26:18,1772022378,PsyopAnime,$5M〜$50M,5424021,348734,0.005401832025865,0.0049440207330086,0.0064482578381083,2.29,0.0002616064530608,0.0057166245419532,48.89,0.09,15,0.0,0.0,0.0,15.0,0.0,0.0,26,1,0.038,0.113,15,82,1.75,4.0,2.0,False,70,https://www.geckoterminal.com/solana/pools/FpyosQzp5ijfrxqqBVNm67rfam7VsbVNAm7PUf8Yvt1c,FpyosQzp5ijfrxqqBVNm67rfam7VsbVNAm7PUf8Yvt1c,2nP9yKQNSGQy851iyawDvBkzkK2R2aqKArQCKc2gpump,2026-02-25 22:26:35,0.0051003914010301,0.0051575669070875,0.0053694433759634,0.0056763717041801,0.0050277842387293,False,False,LOSS-,-0.6
ed21b07b,2026-02-25 21:26:31,1772022391,PunchBF,$300K〜$1M,751799,73796,0.0006897838265385,0.0001228033873388,0.0021639329684577,2.6,0.0002267921756798,0.0008137268896608,42.67,0.25,15,0.0,0.0,0.0,15.0,0.0,0.0,0,0,0.0,0.0,5,91,2.5,6.5,5.0,False,70,https://www.geckoterminal.com/solana/pools/ELsCgLfrUwfrp5en9mfjYynFkJBnmMzgZ2CD7vgNsJsA,ELsCgLfrUwfrp5en9mfjYynFkJBnmMzgZ2CD7vgNsJsA,8qMFktkVQrkWVaCV1RayyXhsVYQrT7k34MU5GYGJpump,2026-02-25 22:34:10,0.0006920073748565,0.0009174262754401,0.0008513123744326,0.0016176202252236,0.0005600671301689,False,False,WIN+,23.42
1b3c55a0,2026-02-25 21:26:44,1772022404,$HACHI,$1M〜$5M,4817526,96798,4.908184098212503e-09,4.710257681904002e-09,5.403000138983756e-09,2.5,9.896320815425064e-11,4.437969010865277e-09,74.85,1.52,56,0.0,20.0,20.0,15.0,0.6,0.0,8,1,0.125,0.269,15,87,2.0,5.0,3.0,False,70,https://www.geckoterminal.com/solana/pools/DqAfrGV2GBxpGRsq6Xk1z9ojRncqgLeeVPaKg5bCc24Z,DqAfrGV2GBxpGRsq6Xk1z9ojRncqgLeeVPaKg5bCc24Z,x95HN3DWvbfCBtTjGm587z8suK3ec6cwQwgZNLbWKyp,2026-02-25 22:34:12,4.844583653698897e-09,4.9077706188151045e-09,4.877610194964599e-09,5.144542023742374e-09,4.8241080871225635e-09,False,False,LOSS-,-0.62
7982199c,2026-02-25 21:26:56,1772022416,Pippkin,$1M〜$5M,3103577,157292,0.0031533369667791,0.0025431074627629,0.0046789107268197,2.5,0.0003051147520081,0.0022122345160589,57.58,0.97,55,0.0,20.0,20.0,15.0,0.4,0.0,4,0,0.0,0.278,15,87,2.0,5.0,3.0,False,70,https://www.geckoterminal.com/solana/pools/GGTdMaanNbGtDd8pGq6JbbSVBcEWbPTggy1VN5TFxDV3,GGTdMaanNbGtDd8pGq6JbbSVBcEWbPTggy1VN5TFxDV3,6ydMmFRaNt4AHBjgvSogbBvcxnTrX3QzUe2AEzVppump,2026-02-25 22:34:16,0.0028877794449084,0.0029070907286451,0.0032499650116934,0.0032879525843454,0.0027663010002643,False,False,WIN+,3.06
7be8cd5c,2026-02-25 21:27:09,1772022429,PMPR,$300K〜$1M,826681,76753,0.0008239220544557,0.0005581784852256,0.001514855334454,2.6,0.000106297427692,0.0007864780625801,47.48,0.29,35,0.0,20.0,0.0,15.0,0.4,0.0,4,0,0.0,0.278,5,91,2.5,6.5,5.0,False,70,https://www.geckoterminal.com/solana/pools/BCH5me3iiBAYviFWdzH134JVGN6UdbUMbGMJJhT8JJ4K,BCH5me3iiBAYviFWdzH134JVGN6UdbUMbGMJJhT8JJ4K,AX9D7Nqtu3enaeL4ELxoagsNV7AyEQEhK2ziwiyJpump,2026-02-25 22:34:19,0.0007150757315776,0.0006470221275153,0.0009343452800829,0.0009742483540705,0.0005622613085229,False,False,WIN+,13.4
9cb30530,2026-02-25 21:27:22,1772022442,AgenC,$1M〜$5M,3702571,173641,0.0036471977772627,0.0027037585823692,0.0060057957644965,2.5,0.0004717195974467,0.0021106243434652,43.6,0.66,35,0.0,20.0,0.0,15.0,0.0,0.0,0,0,0.0,0.0,15,87,2.0,5.0,3.0,False,70,https://www.geckoterminal.com/solana/pools/BUMh6YebpBvAh4by4oTGJUvzQ9CvH6dqPgrZvXFDMwC1,BUMh6YebpBvAh4by4oTGJUvzQ9CvH6dqPgrZvXFDMwC1,5yC9BM8KUsJTPbWPLfA2N8qH1s9V8DQ3Vcw1G6Jdpump,2026-02-25 22:34:21,0.0038567127073361,0.004064798407924,0.0036241670706341,0.0040768536326687,0.0035693666574517,False,False,LOSS-,-0.63
ca77cb96,2026-02-25 21:33:09,1772022789,Clude,$300K〜$1M,930987,90320,0.0009208281949837,0.0007444017037472,0.0013795370721987,2.6,7.057059649461402e-05,0.0012083641516837,24.83,0.23,15,0.0,0.0,0.0,15.0,0.0,0.0,5,0,0.0,0.25,5,91,2.5,6.5,5.0,False,70,https://www.geckoterminal.com/solana/pools/7udbgT6w6X5VpdZuEm4UHbkuUaULYFZmKhntbNuNmaUt,7udbgT6w6X5VpdZuEm4UHbkuUaULYFZmKhntbNuNmaUt,AWGCDT2gd8JadbYbYyZy1iKxfWokPNgrEQoU24zUpump,2026-02-25 22:35:25,0.0009361042554851,0.0009169439862909,0.0010022463864487,0.0010104144780468,0.000875037004845,False,False,WIN+,8.84
605f43b5,2026-02-25 21:33:11,1772022791,CLAW,$1M〜$5M,1923305,116656,0.0019292398517848,0.001308154290906,0.0034819537539818,2.5,0.0003105427804393,0.0030495275594795,45.56,0.02,15,0.0,0.0,0.0,15.0,0.0,0.0,36,0,0.0,0.061,15,87,2.0,5.0,3.0,False,70,https://www.geckoterminal.com/solana/pools/CqC3Hz1VLgRtoy8Kcahif6vxAcYNyQVM7SWxLXCQAfcK,CqC3Hz1VLgRtoy8Kcahif6vxAcYNyQVM7SWxLXCQAfcK,739dnZEG4yaBWFsY8L8ZwrfhGG6dhtCSercW8Umspump,2026-02-25 22:35:28,0.0016912492944024,0.0016929893028432,0.0019122786301304,0.0019708202964789,0.0015987116402384,False,False,LOSS-,-0.88
e5735acf,2026-02-25 21:33:14,1772022794,USELESS,$5M〜$50M,41249903,1544992,0.0412808363443999,0.040418751361514,0.043251316305282,2.29,0.0004926199902205,0.0390438980575605,53.53,0.22,55,0.0,20.0,20.0,15.0,0.0,0.0,10,1,0.1,0.233,15,82,1.75,4.0,2.0,False,70,https://www.geckoterminal.com/solana/pools/Q2sPHPdUWFMg7M7wwrQKLrn619cAucfRsmhVJffodSp,Q2sPHPdUWFMg7M7wwrQKLrn619cAucfRsmhVJffodSp,Dz9mQ9NzkBcCsuGPFJ3r1bS4wgqKMHBPiVuniW8Mbonk,2026-02-25 22:35:30,0.0414467494937816,0.041199282386011,0.0415644245736758,0.0416501522133307,0.0409783100026481,False,False,WIN+,0.69
ddd4ad7f,2026-02-25 21:34:17,1772022857,AUTISM,$1M〜$5M,1691046,120811,0.0017006267134873,0.0012666250509676,0.0027856308697866,2.5,0.0002170008312598,0.0014557194907958,49.79,0.16,35,0.0,20.0,0.0,15.0,0.0,0.0,13,0,0.0,0.139,15,87,2.0,5.0,3.0,False,70,https://www.geckoterminal.com/solana/pools/8QYcaoqEcJ12N1CE5Wn8YqoDAidM3kH4QL9o78ibEE8w,8QYcaoqEcJ12N1CE5Wn8YqoDAidM3kH4QL9o78ibEE8w,8jiVXftnn2ZG6bugK7HAH5j2G3D6TpsG521gqsWwpump,2026-02-25 22:49:09,0.0018673183274931,0.0016867505329935,0.0015700219132116,0.0019521330666006,0.0014661369067925,False,False,LOSS-,-7.68
f8f689bc,2026-02-25 21:34:20,1772022860,PIGEON,$300K〜$1M,604006,102791,0.000580569269476,0.0005170511992771,0.0007457162519932,2.6,2.540722807956121e-05,0.0005939078858404,52.35,0.76,35,0.0,0.0,20.0,15.0,0.0,0.0,21,0,0.0,0.096,5,91,2.5,6.5,5.0,False,70,https://www.geckoterminal.com/solana/pools/CimyjC9gZZwmX3FANaCm45gSWAFrLCtB6NQWjDNZkjgX,CimyjC9gZZwmX3FANaCm45gSWAFrLCtB6NQWjDNZkjgX,GB8KtQfMChhYrCYtd5PoAB42kAdkHnuyAincSSmFpump,2026-02-25 22:49:13,0.000577327252213,0.0005811908228763,0.0005383095867507,0.0006043268533027,0.0005321513368071,False,False,LOSS-,-7.28
6429ee81,2026-02-25 21:43:08,1772023388,WAR,$5M〜$50M,17170067,531625,0.0171834951231551,0.0164098367504995,0.0189518571177966,2.29,0.0004420904986603,0.0186219697544454,47.03,0.25,15,0.0,0.0,0.0,15.0,0.0,0.0,9,0,0.0,0.179,15,82,1.75,4.0,2.0,False,70,https://www.geckoterminal.com/solana/pools/qNAGLPKnYzNtf5iJHdki9Prgodgra5BnadACgecdsjw,qNAGLPKnYzNtf5iJHdki9Prgodgra5BnadACgecdsjw,8opvqaWysX1oYbXuTL8PHaoaTiXD69VFYAX4smPebonk,2026-02-25 22:49:16,0.017400584948563,0.0169940899897448,0.0174511581038959,0.0176884324774647,0.016840201387004,False,False,WIN+,1.56
b1ae9371,2026-02-25 21:43:11,1772023391,ORANMAMA,$300K〜$1M,560967,71580,0.0005609719110246,0.0005191712787208,0.0006696535550144,2.6,1.6720252921519258e-05,0.000567448939969,43.12,0.11,15,0.0,0.0,0.0,15.0,0.0,0.0,11,0,0.0,0.156,5,91,2.5,6.5,5.0,False,70,https://www.geckoterminal.com/solana/pools/8KgAx4VVaCQmCysLsjYsQgMuaVK9vDoGnZBdUDHaVBLX,8KgAx4VVaCQmCysLsjYsQgMuaVK9vDoGnZBdUDHaVBLX,29JU4mA9A66F6GLkdGUwL3rKdBpL8Mw6VZZHb8t8pump,2026-02-25 22:49:19,0.0005352476349971,0.0005111455260641,0.0004829039503113,0.0005609719110246,0.0004818664320701,True,False,LOSS,-13.92
2d7434bb,2026-02-25 21:43:14,1772023394,DATACLAW,$1M〜$5M,1597887,110343,0.0015635522313502,0.0010363729417424,0.0028815004553697,2.5,0.0002635896448038,0.0008131557795446,84.38,1.22,56,0.0,20.0,20.0,15.0,0.7,0.0,1,0,0.0,0.417,15,87,2.0,5.0,3.0,False,70,https://www.geckoterminal.com/solana/pools/A9aoE41kUqsKcYGSr5hvhZ2hJF5xZCWuE9D94J8ZPbkd,A9aoE41kUqsKcYGSr5hvhZ2hJF5xZCWuE9D94J8ZPbkd,Duxeg8HrG89Dq95oyiydrnFd8irZhjApGZu8PYrEpump,2026-02-25 22:49:22,0.0015606228147076,0.0013942451222686,0.0011328283582416,0.0017040531480358,0.0010982860181929,False,False,LOSS-,-27.55
04f29842,2026-02-25 21:44:16,1772023456,House,$1M〜$5M,1905021,425301,0.0019182997396979,0.0018073532096814,0.0021956660647391,2.5,5.547326500823488e-05,0.0015963431447608,65.98,0.93,57,0.0,20.0,20.0,15.0,2.0,0.0,10,2,0.2,0.3,15,87,2.0,5.0,3.0,False,70,https://www.geckoterminal.com/solana/pools/Gj5t6KjTw3gWW7SrMHEi1ojCkaYHyvLwb17gktf96HNH,Gj5t6KjTw3gWW7SrMHEi1ojCkaYHyvLwb17gktf96HNH,DitHyRMQiSDhn5cnKMJV2CDDt6sVct96YrECiM49pump,2026-02-25 22:50:25,0.0019112801801271,0.0019430024775456,0.0019396817871136,0.0019598030073102,0.0018645965397922,False,False,WIN+,1.11
af0666f5,2026-02-25 21:44:19,1772023459,SANAET,$5M〜$50M,21978492,618113,0.0218554344820382,0.0080746998709012,0.0533542564503513,2.29,0.0078747054920782,0.0182558167291784,43.97,0.31,35,0.0,20.0,0.0,15.0,0.0,0.0,0,0,0.0,0.0,15,82,1.75,4.0,2.0,False,70,https://www.geckoterminal.com/solana/pools/CuxLbyaZAC6X89me2unfuKRpy1H775rpVCE3i5L9Ztbi,CuxLbyaZAC6X89me2unfuKRpy1H775rpVCE3i5L9Ztbi,2ieDnfWLzrat7zGFz4qFh5FMg75WkQrvmWaAHeSZoxHZ,2026-02-25 22:50:27,0.0196390365388985,0.0195723049127872,0.0221925114451625,0.0228158059011424,0.0192867926405647,False,False,WIN+,1.54
f574d803,2026-02-25 21:48:08,1772023688,Lobstar,$5M〜$50M,6950174,370681,0.0069414617571633,0.0063022622781927,0.0084024891376677,2.29,0.000365256845126,0.0078911869471865,43.65,0.11,15,0.0,0.0,0.0,15.0,0.0,0.0,20,0,0.0,0.1,15,82,1.75,4.0,2.0,False,70,https://www.geckoterminal.com/solana/pools/AADJrfmWoHVXZhF1UkbHvNC5tqrBpkGdSaxtMYteDm2x,AADJrfmWoHVXZhF1UkbHvNC5tqrBpkGdSaxtMYteDm2x,AVF9F4C4j8b1Kh4BmNHqybDaHgnZpJ7W7yLvL7hUpump,2026-02-25 22:50:30,0.0059170671786851,0.0056115682025944,0.0055055116692639,0.0070291853702061,0.0052281193495863,True,False,LOSS,-20.69
2fa62b8c,2026-02-25 22:03:09,1772024589,67,$1M〜$5M,1776531,240090,0.0017806932153858,0.0017094895797514,0.0019587023044718,2.5,3.560181781719404e-05,0.0016857789930579,54.88,0.17,55,0.0,20.0,20.0,15.0,0.0,0.0,7,0,0.0,0.208,15,87,2.0,5.0,3.0,False,70,https://www.geckoterminal.com/solana/pools/DMAFL613XTipuA3jFNYczavWT7XsiYf9cR3qmRMZQhB6,DMAFL613XTipuA3jFNYczavWT7XsiYf9cR3qmRMZQhB6,9AvytnUKsLxPxFHFqS6VLxaxt5p6BhYNr53SD2Chpump,2026-02-25 23:04:10,0.0017542633846158,0.001789109412574,0.0016419215160571,0.0017951487013112,0.0014939298520214,True,False,LOSS,-7.79
d2b0fd7b,2026-02-25 22:03:11,1772024591,SACHI,$300K〜$1M,654307,98260,0.000664629050809,0.0006509048311668,0.0007003120218789,2.6,5.489687856901416e-06,0.0007054716084216,36.21,0.6,15,0.0,0.0,0.0,15.0,0.0,0.0,5,0,0.0,0.25,5,91,2.5,6.5,5.0,False,70,https://www.geckoterminal.com/solana/pools/J3s2eaBdxaTEJd9NgHAvsRv88PuGSQWmrggyWxoEL587,J3s2eaBdxaTEJd9NgHAvsRv88PuGSQWmrggyWxoEL587,7Y2TPeq3hqw21LRTCi4wBWoivDngCpNNJsN1hzhZpump,2026-02-25 23:04:13,0.0006591472428301,0.000659557876479,0.0006493876836681,0.0006686048571979,0.0006493876836681,True,False,LOSS,-2.29
00b2bec7,2026-02-25 22:08:08,1772024888,Punch,$5M〜$50M,29144495,804561,0.0292529639303621,0.0264179307195941,0.0357330398406888,2.29,0.0016200189775816,0.0326795767434348,25.53,1.6,23,8.4,0.0,0.0,15.0,0.0,0.0,9,1,0.111,0.25,15,82,1.75,4.0,2.0,False,70,https://www.geckoterminal.com/solana/pools/A6KHMiFzn9AM7VKBtVP4fZNY9bCo2jP63R9dphaW1vrq,A6KHMiFzn9AM7VKBtVP4fZNY9bCo2jP63R9dphaW1vrq,NV2RYH954cTJ3ckFUpvfqaQXU4ARqqDH3562nFSpump,2026-02-25 23:19:10,0.0295490930406543,0.029691966923182,0.0283020161355956,0.0303402345012143,0.0281558668377634,False,False,LOSS-,-3.25
e407172c,2026-02-25 22:23:10,1772025790,ROSCLAW,$300K〜$1M,667274,73216,0.0006643052282213,0.0004518365863412,0.0012167236971095,2.6,8.498745675202519e-05,0.0004877025623477,78.84,3.49,74,0.0,20.0,20.0,15.0,18.8,0.0,11,9,0.818,0.719,5,91,2.5,6.5,5.0,True,70,https://www.geckoterminal.com/solana/pools/BBeJvzFYLxLbyHU9j5jnz4TRCfTY6E3CBmQ2f9t6eH97,BBeJvzFYLxLbyHU9j5jnz4TRCfTY6E3CBmQ2f9t6eH97,BVdMM5Fd7MxcTExnokXZzmCtiLvd2Es5zZQqRLNmrzSy,2026-02-25 23:34:10,0.0006318651501422,0.0005565631911272,0.0007747319664117,0.0009312629530172,0.000491864045982,False,False,WIN+,16.62
